Title,Ranking,Genre,Actors,Runtime
Breaking Bad,9.5,Crime,Bryan Cranston,47
Game of Thrones,9.5,Adventure,Emilia Clarke,56
The Wire,9.3,Crime,Dominic West,59
Rick and Morty,9.3,Animation,Justin Roiland,22
Sherlock,9.3,Crime,Benedict Cumberbatch,88
The Sopranos,9.2,Crime,James Gandolfini,55
Last Week Tonight with John Oliver,9.2,Comedy,John Oliver,30
True Detective,9.2,Crime,Vince Vaughn,55
Avatar: The Last Airbender,9.2,Animation,Zach Tyler,23
Leyla ile Mecnun,9.2,Adventure,Ali Atay,80
Firefly,9.1,Adventure,Nathan Fillion,44
Hagane no renkinjutsushi,9.1,Animation,Kent Williams,24
Narcos,9.1,Biography,Wagner Moura,49
Arrested Development,9.0,Comedy,Jason Bateman,22
House of Cards,9.0,Drama,Kevin Spacey,55
Batman: The Animated Series,9.0,Animation,Kevin Conroy,23
Kaub&#xF4;i bibappu: Cowboy Bebop,9.0,Animation,Kunihiro Mori,24
Fargo,9.0,Crime,Billy Bob Thornton,53
The Twilight Zone,9.0,Fantasy,Rod Serling,51
Permanent Roommates,9.0,Comedy,Sameer Saxena,21
Death Note: Desu n&#xF4;to,9.0,Animation,Mamoru Miyano,24
Hunter x Hunter,9.0,Animation,Mariya Ise,24
Friends,9.0,Comedy,Jennifer Aniston,22
Kardes Payi,9.0,Comedy,Ahmet Kural,70
Mr. Robot,9.0,Crime,Rami Malek,44
Monty Python&#x27;s Flying Circus,8.9,Comedy,Graham Chapman,30
Twin Peaks,8.9,Drama,Kyle MacLachlan,47
Freaks and Geeks,8.9,Comedy,Linda Cardellini,44
Seinfeld,8.9,Comedy,Jerry Seinfeld,22
Wan p&#xEE;su: One Piece,8.9,Animation,Tony Beck,24
Only Fools and Horses....,8.9,Comedy,David Jason,95
Pod prikritie,8.9,Action,Vladimir Penev,60
Top Gear,8.9,Comedy,Richard Hammond,60
Dragon Ball Z,8.9,Animation,Masako Nozawa,24
K&#xF4;do giasu: Hangyaku no rur&#xFB;shu R2,8.9,Animation,Adam Bobrow,24
Oz,8.9,Crime,Gregory Dark,55
Rome,8.9,Action,Kevin McKidd,90
Better Call Saul,8.9,Crime,Bob Odenkirk,47
The Simpsons,8.9,Animation,Dan Castellaneta,22
Shingeki no kyojin,8.9,Animation,Marina Inoue,24
Daredevil,8.9,Action,Charlie Cox,54
Dragon Ball Z: Doragon b&#xF4;ru zetto,8.9,Animation,Minoru Okazaki,24
Dexter,8.9,Crime,Michael C. Hall,55
House M.D.,8.9,Drama,Hugh Laurie,44
Blackadder Goes Forth,8.9,Comedy,Rowan Atkinson,175
Fawlty Towers,8.8,Comedy,John Cleese,30
Gravity Falls,8.8,Animation,Jason Ritter,23
Steins;Gate,8.8,Animation,Hiroshi Hamazaki,24
Doctor Who,8.8,Adventure,Peter Capaldi,45
Archer,8.8,Animation,H. Jon Benjamin,22
